,County,Year,Metro,State,Avg_Annual_Rent,Med_Annual_Income,County_Population,Rent_Income,Percent_AnnualRent_Change,Percent_Pop_Change,Percent_AnnualIncome_Change
22,"Alachua County, Florida",2014,"Gainesville, Florida",Florida,13833.42857,45228,256380,0.305859834,0.033756085,0.011556474,0.176158527
23,"Alachua County, Florida",2015,"Gainesville, Florida",Florida,14249.14286,47895,259964,0.297507941,0.030051428,0.01397925,0.058967896
24,"Alachua County, Florida",2016,"Gainesville, Florida",Florida,14607.28571,45304,263496,0.322428168,0.025134344,0.013586497,-0.054097505
25,"Alamance County, North Carolina",2013,"Burlington, North Carolina",North Carolina,10182.125,42512,154378,0.239511785,NA,NA,NA
26,"Alamance County, North Carolina",2014,"Burlington, North Carolina",North Carolina,10574.25,39576,155792,0.267188448,0.038511116,0.009159336,-0.069062853
27,"Alamance County, North Carolina",2015,"Burlington, North Carolina",North Carolina,10984.25,39541,158276,0.277793935,0.038773435,0.015944336,-0.000884374
28,"Alamance County, North Carolina",2016,"Burlington, North Carolina",North Carolina,11060.5,45100,159688,0.245243902,0.006941758,0.008921125,0.14058825
29,"Alameda County, California",2013,"San Francisco, California",California,27693.8125,72399,1578891,0.382516506,NA,NA,NA
30,"Alameda County, California",2014,"San Francisco, California",California,30921.0625,77214,1610921,0.400459276,0.116533251,0.020286391,0.066506443
31,"Alameda County, California",2015,"San Francisco, California",California,35966.0625,81717,1638215,0.440129502,0.163157395,0.016943103,0.05831844
32,"Alameda County, California",2016,"San Francisco, California",California,38799.9375,89979,1647704,0.431211033,0.078793029,0.00579228,0.101105033
33,"Albany County, New York",2013,"Albany, New York",New York,17141.14286,55778,306945,0.307310102,NA,NA,NA
34,"Albany County, New York",2014,"Albany, New York",New York,16719.85714,60655,308171,0.275655051,-0.024577458,0.003994201,0.087435907
35,"Albany County, New York",2015,"Albany, New York",New York,18485.92857,57042,309381,0.324075744,0.105627184,0.003926392,-0.0595664
36,"Albany County, New York",2016,"Albany, New York",New York,19281.42857,61754,308846,0.31222963,0.043032731,-0.001729259,0.082605799
37,"Albemarle County, Virginia",2013,"Charlottesville, Virginia",Virginia,18222.25,70312,103000,0.259162732,NA,NA,NA
38,"Albemarle County, Virginia",2014,"Charlottesville, Virginia",Virginia,18506.75,64722,104489,0.285942183,0.015612781,0.014456311,-0.079502788
39,"Albemarle County, Virginia",2015,"Charlottesville, Virginia",Virginia,19398.125,70589,105703,0.274803794,0.048164859,0.011618448,0.090649238
40,"Albemarle County, Virginia",2016,"Charlottesville, Virginia",Virginia,19497.25,71975,106878,0.270889198,0.00511003,0.011116052,0.019634787
41,"Allegan County, Michigan",2013,"Holland, Michigan",Michigan,8645,56077,112531,0.154163026,NA,NA,NA
42,"Allegan County, Michigan",2014,"Holland, Michigan",Michigan,10099,53796,113847,0.187727712,0.168189705,0.011694555,-0.040676213
43,"Allegan County, Michigan",2015,"Holland, Michigan",Michigan,10689,55250,114625,0.193466063,0.058421626,0.006833733,0.027028032
44,"Allegan County, Michigan",2016,"Holland, Michigan",Michigan,10486,57846,115548,0.181274418,-0.018991487,0.008052345,0.046986425
45,"Allegany County, Maryland",2013,"Cumberland, Maryland",Maryland,14009.5,40165,73521,0.348798705,NA,NA,NA
46,"Allegany County, Maryland",2014,"Cumberland, Maryland",Maryland,13258.4,39653,72952,0.334360578,-0.053613619,-0.007739285,-0.012747417
47,"Allegany County, Maryland",2015,"Cumberland, Maryland",Maryland,14000.5,38281,72528,0.365729735,0.055972063,-0.005812041,-0.034600156
48,"Allegany County, Maryland",2016,"Cumberland, Maryland",Maryland,13804.7,45606,72130,0.302694821,-0.013985215,-0.005487536,0.191348188
49,"Allegheny County, Pennsylvania",2013,"Pittsburgh, Pennsylvania",Pennsylvania,14464.18421,51424,1231527,0.281273028,NA,NA,NA
50,"Allegheny County, Pennsylvania",2014,"Pittsburgh, Pennsylvania",Pennsylvania,14867.46491,52400,1231255,0.283730246,0.027881331,-0.000220864,0.018979465
51,"Allegheny County, Pennsylvania",2015,"Pittsburgh, Pennsylvania",Pennsylvania,15114.22807,54467,1230459,0.277493309,0.016597528,-0.000646495,0.039446565
52,"Allegheny County, Pennsylvania",2016,"Pittsburgh, Pennsylvania",Pennsylvania,15228.84211,56140,1225365,0.271265445,0.007583188,-0.004139919,0.030715846
53,"Allen County, Indiana",2013,"Fort Wayne, Indiana",Indiana,12046.5,45006,363014,0.267664311,NA,NA,NA
54,"Allen County, Indiana",2014,"Fort Wayne, Indiana",Indiana,12156.25,48521,365918,0.25053585,0.00911053,0.007999691,0.078100698
55,"Allen County, Indiana",2015,"Fort Wayne, Indiana",Indiana,12856.625,49754,368450,0.258403847,0.057614396,0.006919583,0.025411677
56,"Allen County, Indiana",2016,"Fort Wayne, Indiana",Indiana,13256,51173,370404,0.259042855,0.031063751,0.005303298,0.02852032
57,"Allen County, Ohio",2013,"Lima, Ohio",Ohio,10969.85714,43030,105298,0.254935095,NA,NA,NA
58,"Allen County, Ohio",2014,"Lima, Ohio",Ohio,11357.57143,42701,105040,0.26597905,0.035343604,-0.002450189,-0.007645828
59,"Allen County, Ohio",2015,"Lima, Ohio",Ohio,11800.71429,50332,104425,0.234457488,0.039017396,-0.005854912,0.178707759
60,"Allen County, Ohio",2016,"Lima, Ohio",Ohio,11916.71429,47592,103742,0.250393223,0.009829913,-0.006540579,-0.054438528
61,"Anderson County, South Carolina",2013,"Greenville, South Carolina",South Carolina,10865.57143,41135,190641,0.264144194,NA,NA,NA
62,"Anderson County, South Carolina",2014,"Greenville, South Carolina",South Carolina,11232.57143,42837,192810,0.262216575,0.03377641,0.011377406,0.041375957
63,"Anderson County, South Carolina",2015,"Greenville, South Carolina",South Carolina,11312.57143,43558,194692,0.25971283,0.007122145,0.009760905,0.016831244
64,"Anderson County, South Carolina",2016,"Greenville, South Carolina",South Carolina,11231.42857,45090,196569,0.249089123,-0.007172804,0.009640869,0.035171495
65,"Anderson County, Tennessee",2013,"Knoxville, Tennessee",Tennessee,10079.16667,40907,75542,0.246392223,NA,NA,NA
66,"Anderson County, Tennessee",2014,"Knoxville, Tennessee",Tennessee,11004.16667,47821,75528,0.230111597,0.09177346,-0.000185327,0.169017528
67,"Anderson County, Tennessee",2015,"Knoxville, Tennessee",Tennessee,11007.66667,42744,75749,0.257525423,0.000318061,0.002926067,-0.106166747
68,"Anderson County, Tennessee",2016,"Knoxville, Tennessee",Tennessee,10981.16667,46055,75936,0.238435928,-0.002407413,0.002468679,0.077461164
69,"Androscoggin County, Maine",2013,"Lewiston, Maine",Maine,11484,44127,107604,0.260248827,NA,NA,NA
70,"Androscoggin County, Maine",2014,"Lewiston, Maine",Maine,11345.66667,48007,107440,0.23633359,-0.012045745,-0.001524107,0.087928026
71,"Androscoggin County, Maine",2015,"Lewiston, Maine",Maine,13524.66667,50338,107233,0.268677076,0.192055704,-0.001926657,0.048555419
72,"Androscoggin County, Maine",2016,"Lewiston, Maine",Maine,13478,49081,107319,0.274607282,-0.003450486,0.000801992,-0.024971195
73,"Angelina County, Texas",2013,"Lufkin, Texas",Texas,10257,42750,87441,0.239929825,NA,NA,NA
74,"Angelina County, Texas",2014,"Lufkin, Texas",Texas,11101,42156,87750,0.263331436,0.082285269,0.003533811,-0.013894737
75,"Angelina County, Texas",2015,"Lufkin, Texas",Texas,12224,49768,88255,0.245619675,0.101162057,0.005754986,0.180567416
76,"Angelina County, Texas",2016,"Lufkin, Texas",Texas,12335.5,41161,87791,0.299689026,0.009121401,-0.005257492,-0.172942453
77,"Anne Arundel County, Maryland",2013,"Baltimore, Maryland",Maryland,23497.63636,86230,555743,0.272499552,NA,NA,NA
78,"Anne Arundel County, Maryland",2014,"Baltimore, Maryland",Maryland,24109.77273,87217,560133,0.276434327,0.026050976,0.007899335,0.011446132
79,"Anne Arundel County, Maryland",2015,"Baltimore, Maryland",Maryland,24604.81818,91230,564195,0.269700956,0.020532979,0.007251849,0.046011672
80,"Anne Arundel County, Maryland",2016,"Baltimore, Maryland",Maryland,24984.86364,96483,568346,0.258956123,0.015445977,0.007357385,0.057579744
81,"Anoka County, Minnesota",2013,"Minneapolis-St Paul, Minnesota",Minnesota,16935.41176,70800,339534,0.239200731,NA,NA,NA
82,"Anoka County, Minnesota",2014,"Minneapolis-St Paul, Minnesota",Minnesota,17365.64706,70915,341864,0.244879744,0.025404478,0.006862347,0.001624294
83,"Anoka County, Minnesota",2015,"Minneapolis-St Paul, Minnesota",Minnesota,17643,73382,344151,0.240426808,0.015971357,0.006689795,0.034788127
84,"Anoka County, Minnesota",2016,"Minneapolis-St Paul, Minnesota",Minnesota,18015.82353,76533,345957,0.235399416,0.021131527,0.005247697,0.042939685
85,"Arapahoe County, Colorado",2013,"Denver, Colorado",Colorado,24909.875,60956,607070,0.408653373,NA,NA,NA
86,"Arapahoe County, Colorado",2014,"Denver, Colorado",Colorado,26603.625,65327,618821,0.407237819,0.067995122,0.019356911,0.071707461
87,"Arapahoe County, Colorado",2015,"Denver, Colorado",Colorado,30086.625,67002,631096,0.4490407,0.130922008,0.019836108,0.025640241
88,"Arapahoe County, Colorado",2016,"Denver, Colorado",Colorado,31150.25,70950,637068,0.439045102,0.035352088,0.009462903,0.058923614
89,"Arlington County, Virginia",2013,"Washington, Virginia",Virginia,32148,102501,224906,0.313635965,NA,NA,NA
90,"Arlington County, Virginia",2014,"Washington, Virginia",Virginia,32684,109266,226908,0.299123241,0.016672888,0.008901497,0.065999356
91,"Arlington County, Virginia",2015,"Washington, Virginia",Virginia,32773,106768,229164,0.306955267,0.002723045,0.009942355,-0.02286164
92,"Arlington County, Virginia",2016,"Washington, Virginia",Virginia,32705,110388,230050,0.296273146,-0.002074879,0.003866227,0.03390529
93,"Aroostook County, Maine",2013,"NA, Maine",Maine,9724,36825,70055,0.264059742,NA,NA,NA
94,"Aroostook County, Maine",2014,"NA, Maine",Maine,10431,35439,69447,0.294336748,0.072706705,-0.008678895,-0.037637475
95,"Aroostook County, Maine",2015,"NA, Maine",Maine,10128,36596,68628,0.276751558,-0.02904803,-0.011793166,0.032647648
96,"Aroostook County, Maine",2016,"NA, Maine",Maine,10292,39450,67959,0.260887199,0.016192733,-0.009748208,0.077986665
97,"Ascension County, Louisiana",2013,"Baton Rouge, Louisiana",Louisiana,17090.6,75308,114393,0.226942689,NA,NA,NA
98,"Ascension County, Louisiana",2014,"Baton Rouge, Louisiana",Louisiana,18014.6,66576,117029,0.270586998,0.054064808,0.023043368,-0.115950497
99,"Ascension County, Louisiana",2015,"Baton Rouge, Louisiana",Louisiana,19456.2,76632,119455,0.253891325,0.080023981,0.020729905,0.151045422
100,"Ascension County, Louisiana",2016,"Baton Rouge, Louisiana",Louisiana,19159.2,76581,121587,0.25018216,-0.015265057,0.017847725,-0.000665518
101,"Ashtabula County, Ohio",2013,"Ashtabula, Ohio",Ohio,10833.78571,40839,99811,0.265280387,NA,NA,NA
102,"Ashtabula County, Ohio",2014,"Ashtabula, Ohio",Ohio,11432.14286,39079,99175,0.292539289,0.055230661,-0.006372043,-0.04309606
103,"Ashtabula County, Ohio",2015,"Ashtabula, Ohio",Ohio,12011.71429,44511,98632,0.269859457,0.050696657,-0.00547517,0.139000486
104,"Ashtabula County, Ohio",2016,"Ashtabula, Ohio",Ohio,12027.28571,42965,98231,0.279932171,0.001296354,-0.004065618,-0.034732987
105,"Athens County, Ohio",2015,"Athens, Ohio",Ohio,12119.33333,36511,65886,0.331936494,0.007653233,-0.329274872,-0.150215292
106,"Athens County, Ohio",2016,"Athens, Ohio",Ohio,12759,36193,66186,0.352526732,0.052780681,0.004553319,-0.008709704
107,"Atlantic County, New Jersey",2013,"Atlantic City, New Jersey",New Jersey,17481.18182,52127,275862,0.335357527,NA,NA,NA
108,"Atlantic County, New Jersey",2014,"Atlantic City, New Jersey",New Jersey,16998.09091,55313,275209,0.30730734,-0.027634911,-0.002367126,0.061119957
109,"Atlantic County, New Jersey",2015,"Atlantic City, New Jersey",New Jersey,17799.81818,54052,274219,0.32930915,0.047165724,-0.003597266,-0.022797534
110,"Atlantic County, New Jersey",2016,"Atlantic City, New Jersey",New Jersey,17702.13636,56778,270991,0.311778089,-0.005487799,-0.011771613,0.050432916
111,"Augusta County, Virginia",2013,"Staunton, Virginia",Virginia,14853.07692,55284,73912,0.268668637,NA,NA,NA
112,"Augusta County, Virginia",2014,"Staunton, Virginia",Virginia,14903.23077,58322,73862,0.255533603,0.003376664,-0.00067648,0.054952608
113,"Augusta County, Virginia",2015,"Staunton, Virginia",Virginia,15579.92308,56766,74314,0.274458709,0.045405746,0.00611952,-0.026679469
114,"Augusta County, Virginia",2016,"Staunton, Virginia",Virginia,15279.61538,55342,74997,0.276094384,-0.0192753,0.009190731,-0.025085438
115,"Baldwin County, Alabama",2013,"Daphne, Alabama",Alabama,13528,44874,195540,0.301466328,NA,NA,NA
116,"Baldwin County, Alabama",2014,"Daphne, Alabama",Alabama,14098.5,48461,200111,0.290924661,0.042171792,0.023376291,0.079934929
117,"Baldwin County, Alabama",2015,"Daphne, Alabama",Alabama,15295.1875,52003,203709,0.294121253,0.084880484,0.017980021,0.073089701
118,"Baldwin County, Alabama",2016,"Daphne, Alabama",Alabama,15484.1875,56732,208563,0.272935689,0.012356828,0.023828108,0.090937061
119,"Baltimore County, Maryland",2013,"Baltimore, Maryland",Maryland,20856.09677,64795,823015,0.321878182,NA,NA,NA
120,"Baltimore County, Maryland",2014,"Baltimore, Maryland",Maryland,21220.19355,68257,826925,0.310886701,0.01745757,0.004750825,0.053430049
121,"Baltimore County, Maryland",2015,"Baltimore, Maryland",Maryland,21987.74194,68775,831128,0.319705444,0.036170659,0.005082686,0.007588965
122,"Baltimore County, Maryland",2016,"Baltimore, Maryland",Maryland,21921.67742,72764,831026,0.301270923,-0.003004607,-0.000122725,0.058000727
123,"Bannock County, Idaho",2013,"Pocatello, Idaho",Idaho,10598.5,42174,83249,0.251304121,NA,NA,NA
124,"Bannock County, Idaho",2014,"Pocatello, Idaho",Idaho,10770,44018,83347,0.244672634,0.016181535,0.001177191,0.043723621
125,"Bannock County, Idaho",2015,"Pocatello, Idaho",Idaho,11037.5,41530,83744,0.265771731,0.024837512,0.004763219,-0.056522332
126,"Bannock County, Idaho",2016,"Pocatello, Idaho",Idaho,11091,48429,84377,0.229015672,0.004847112,0.00755875,0.166120876
127,"Barnstable County, Massachusetts",2013,"Cape Cod, Massachusetts",Massachusetts,20707.18182,61026,214990,0.33931737,NA,NA,NA
128,"Barnstable County, Massachusetts",2014,"Cape Cod, Massachusetts",Massachusetts,21085.81818,65384,214914,0.322492019,0.018285268,-0.000353505,0.071412185
129,"Barnstable County, Massachusetts",2015,"Cape Cod, Massachusetts",Massachusetts,22040.27273,66102,214333,0.333428228,0.045265236,-0.002703407,0.01098128
130,"Barnstable County, Massachusetts",2016,"Cape Cod, Massachusetts",Massachusetts,22861.63636,67898,214276,0.336705593,0.037266492,-0.000265941,0.027170131
131,"Barrow County, Georgia",2013,"Atlanta, Georgia",Georgia,12114.5,56051,71453,0.216133521,NA,NA,NA
132,"Barrow County, Georgia",2014,"Atlanta, Georgia",Georgia,12237.5,47834,73240,0.255832671,0.010153122,0.025009447,-0.146598633
133,"Barrow County, Georgia",2015,"Atlanta, Georgia",Georgia,12910,53156,75370,0.242870043,0.054954035,0.029082469,0.111259773
134,"Barrow County, Georgia",2016,"Atlanta, Georgia",Georgia,13668.75,54256,77126,0.251930662,0.05877227,0.023298395,0.020693807
135,"Bartholomew County, Indiana",2013,"Columbus, Indiana",Indiana,11321.33333,52505,79587,0.215623909,NA,NA,NA
136,"Bartholomew County, Indiana",2014,"Columbus, Indiana",Indiana,12078.66667,53002,80217,0.227890771,0.066894359,0.007915866,0.009465765
137,"Bartholomew County, Indiana",2015,"Columbus, Indiana",Indiana,12712.66667,54447,81162,0.233487,0.052489237,0.011780545,0.027263122
138,"Bartholomew County, Indiana",2016,"Columbus, Indiana",Indiana,13014.66667,59102,81402,0.220206874,0.023755834,0.002957049,0.085495987
139,"Bartow County, Georgia",2013,"Atlanta, Georgia",Georgia,10693.8,45191,101273,0.236635613,NA,NA,NA
140,"Bartow County, Georgia",2014,"Atlanta, Georgia",Georgia,11350,53675,101736,0.211457848,0.061362659,0.004571801,0.187736496
141,"Bartow County, Georgia",2015,"Atlanta, Georgia",Georgia,11738,50572,102747,0.232104722,0.034185022,0.009937485,-0.057810899
142,"Bartow County, Georgia",2016,"Atlanta, Georgia",Georgia,12080.4,51405,103807,0.235004377,0.029170216,0.010316603,0.016471565
143,"Bastrop County, Texas",2013,"Austin, Texas",Texas,14033,48652,75825,0.288436241,NA,NA,NA
144,"Bastrop County, Texas",2014,"Austin, Texas",Texas,14388.8,53631,78069,0.268292592,0.025354521,0.029594461,0.102339061
145,"Bastrop County, Texas",2015,"Austin, Texas",Texas,16041.2,63129,80527,0.254101918,0.114839319,0.031484968,0.177099066
146,"Bastrop County, Texas",2016,"Austin, Texas",Texas,16506.4,56508,82733,0.292107312,0.029000324,0.027394538,-0.104880483
147,"Bay County, Florida",2013,"Panama City, Florida",Florida,12030.125,45594,174987,0.263853248,NA,NA,NA
148,"Bay County, Florida",2014,"Panama City, Florida",Florida,12818.625,44775,178985,0.286289782,0.065543791,0.022847412,-0.01796289
149,"Bay County, Florida",2015,"Panama City, Florida",Florida,13552.75,48259,181635,0.280833627,0.057270183,0.01480571,0.077811279
150,"Bay County, Florida",2016,"Panama City, Florida",Florida,14023,49157,183974,0.285269646,0.034697755,0.012877474,0.018607928
151,"Bay County, Michigan",2013,"Bay City, Michigan",Michigan,9064.5,41281,106832,0.219580437,NA,NA,NA
152,"Bay County, Michigan",2014,"Bay City, Michigan",Michigan,9942.3,46844,106179,0.212242763,0.096839318,-0.006112401,0.134759332
153,"Bay County, Michigan",2015,"Bay City, Michigan",Michigan,10257.8,46560,105659,0.220313574,0.0317331,-0.00489739,-0.006062676
154,"Bay County, Michigan",2016,"Bay City, Michigan",Michigan,10582.5,44756,104747,0.236448744,0.031653961,-0.008631541,-0.038745704
155,"Beaufort County, South Carolina",2013,"Hilton Head Island, South Carolina",South Carolina,14335.2,57122,171838,0.2509576,NA,NA,NA
156,"Beaufort County, South Carolina",2014,"Hilton Head Island, South Carolina",South Carolina,15068.5,54996,175852,0.273992654,0.051153803,0.02335921,-0.037218585
157,"Beaufort County, South Carolina",2015,"Hilton Head Island, South Carolina",South Carolina,16349.2,60257,179589,0.271324493,0.08499187,0.021250825,0.095661503
158,"Beaufort County, South Carolina",2016,"Hilton Head Island, South Carolina",South Carolina,16901.1,65919,183149,0.256391936,0.033757003,0.01982304,0.093964187
159,"Beaver County, Pennsylvania",2013,"Pittsburgh, Pennsylvania",Pennsylvania,11428.53125,49937,170115,0.228858987,NA,NA,NA
160,"Beaver County, Pennsylvania",2014,"Pittsburgh, Pennsylvania",Pennsylvania,11170.375,51222,169392,0.218077681,-0.022588751,-0.004250066,0.025732423
161,"Beaver County, Pennsylvania",2015,"Pittsburgh, Pennsylvania",Pennsylvania,11683,50128,168871,0.233063358,0.045891476,-0.003075706,-0.02135801
162,"Beaver County, Pennsylvania",2016,"Pittsburgh, Pennsylvania",Pennsylvania,11962.5,55221,167429,0.216629543,0.02392365,-0.008539062,0.101599904
163,"Bedford County, Virginia",2013,"Lynchburg, Virginia",Virginia,12876.375,57000,69825,0.225901316,NA,NA,NA
164,"Bedford County, Virginia",2014,"Lynchburg, Virginia",Virginia,13854.25,56996,76583,0.243074075,0.075943346,0.096784819,-7.02E-05
165,"Bedford County, Virginia",2015,"Lynchburg, Virginia",Virginia,13357.75,54062,77724,0.247082054,-0.035837378,0.014898868,-0.051477297
166,"Bedford County, Virginia",2016,"Lynchburg, Virginia",Virginia,13711.5,56479,77960,0.24277165,0.026482753,0.003036385,0.044707928
167,"Bell County, Texas",2013,"Killeen, Texas",Texas,13097,50656,326843,0.258547852,NA,NA,NA
168,"Bell County, Texas",2014,"Killeen, Texas",Texas,12975.18182,51221,329140,0.25331762,-0.009301228,0.007027839,0.011153664
169,"Bell County, Texas",2015,"Killeen, Texas",Texas,13268.09091,48908,334941,0.27128672,0.022574565,0.017624719,-0.04515726
170,"Bell County, Texas",2016,"Killeen, Texas",Texas,13231.63636,52275,340411,0.253115951,-0.002747535,0.016331234,0.068843543
171,"Belmont County, Ohio",2013,"Wheeling, Ohio",Ohio,13206.5,38224,69571,0.345502825,NA,NA,NA
172,"Belmont County, Ohio",2014,"Wheeling, Ohio",Ohio,14169,42079,69461,0.336723781,0.072880778,-0.001581119,0.100852867
173,"Belmont County, Ohio",2015,"Wheeling, Ohio",Ohio,14238.5,46113,69154,0.308774098,0.004905074,-0.004419746,0.095867297
174,"Belmont County, Ohio",2016,"Wheeling, Ohio",Ohio,16124.5,48220,68673,0.334394442,0.132457773,-0.006955491,0.045692104
175,"Benton County, Arkansas",2013,"Fayetteville, Arkansas",Arkansas,11750.33333,56570,237297,0.207713158,NA,NA,NA
176,"Benton County, Arkansas",2014,"Fayetteville, Arkansas",Arkansas,12069.86667,56981,242321,0.211822654,0.027193555,0.021171781,0.007265335
177,"Benton County, Arkansas",2015,"Fayetteville, Arkansas",Arkansas,12593,58770,249672,0.214275991,0.043342097,0.030335794,0.03139643
178,"Benton County, Arkansas",2016,"Fayetteville, Arkansas",Arkansas,13120.06667,63631,258291,0.206189855,0.04185394,0.034521292,0.082712268
179,"Benton County, Oregon",2013,"Corvallis, Oregon",Oregon,15816,47808,86591,0.330823293,NA,NA,NA
180,"Benton County, Oregon",2014,"Corvallis, Oregon",Oregon,16280.33333,52486,86316,0.310184303,0.029358456,-0.00317585,0.097849732
181,"Benton County, Oregon",2015,"Corvallis, Oregon",Oregon,17471.33333,52852,87572,0.330570902,0.07315575,0.014551184,0.006973288
182,"Benton County, Oregon",2016,"Corvallis, Oregon",Oregon,18177.66667,55459,89385,0.32776766,0.04042813,0.020702964,0.049326421
183,"Benton County, Washington",2013,"Kennewick, Washington",Washington,15053.2,58997,184486,0.255151957,NA,NA,NA
184,"Benton County, Washington",2014,"Kennewick, Washington",Washington,15346,58093,186486,0.264162636,0.019451014,0.010840931,-0.015322813
185,"Benton County, Washington",2015,"Kennewick, Washington",Washington,16559.4,62484,190309,0.265018245,0.079069464,0.020500198,0.075585699
186,"Benton County, Washington",2016,"Kennewick, Washington",Washington,17254.8,62508,193686,0.276041467,0.041994275,0.017744826,0.000384098
187,"Bergen County, New Jersey",2013,"New York, New Jersey",New Jersey,29384.10448,81670,925328,0.359790676,NA,NA,NA
188,"Bergen County, New Jersey",2014,"New York, New Jersey",New Jersey,31212.0597,84677,933572,0.368601388,0.062208982,0.008909273,0.036818905
189,"Bergen County, New Jersey",2015,"New York, New Jersey",New Jersey,33323.16418,89023,938506,0.37432084,0.067637461,0.005285077,0.051324445
190,"Bergen County, New Jersey",2016,"New York, New Jersey",New Jersey,33700.65672,93683,939151,0.359730759,0.011328232,0.000687263,0.052346023
191,"Berkeley County, South Carolina",2013,"Charleston, South Carolina",South Carolina,13621.66667,50475,194020,0.269869572,NA,NA,NA
192,"Berkeley County, South Carolina",2014,"Charleston, South Carolina",South Carolina,14470,52427,198205,0.276002823,0.062278233,0.021569941,0.03867261
193,"Berkeley County, South Carolina",2015,"Charleston, South Carolina",South Carolina,14833.66667,56548,202786,0.262319917,0.025132458,0.023112434,0.078604536
194,"Berkeley County, South Carolina",2016,"Charleston, South Carolina",South Carolina,15040.33333,59153,210898,0.254261548,0.013932271,0.040002762,0.046067058
195,"Berkeley County, West Virginia",2013,"Hagerstown, West Virginia",West Virginia,14049,55134,108706,0.25481554,NA,NA,NA
196,"Berkeley County, West Virginia",2014,"Hagerstown, West Virginia",West Virginia,14141,58754,110497,0.240681486,0.006548509,0.016475632,0.065658215
197,"Berkeley County, West Virginia",2015,"Hagerstown, West Virginia",West Virginia,14327.16667,53548,111901,0.267557456,0.013165028,0.012706227,-0.088606733
198,"Berkeley County, West Virginia",2016,"Hagerstown, West Virginia",West Virginia,14355.16667,57357,113525,0.250277502,0.001954329,0.014512828,0.071132442
199,"Berks County, Pennsylvania",2013,"Reading, Pennsylvania",Pennsylvania,15373.35938,56043,413521,0.274313641,NA,NA,NA
200,"Berks County, Pennsylvania",2014,"Reading, Pennsylvania",Pennsylvania,15609.54688,56059,413691,0.278448543,0.015363428,0.000411104,0.000285495
201,"Berks County, Pennsylvania",2015,"Reading, Pennsylvania",Pennsylvania,16152.82813,56122,415271,0.287816331,0.034804422,0.003819276,0.001123816
202,"Berks County, Pennsylvania",2016,"Reading, Pennsylvania",Pennsylvania,16347.67188,59286,414812,0.275742534,0.012062516,-0.001105302,0.056377178
